Area,Component/File,Control Label,Control Type,Current Behavior,Expected Live Behavior,Backend/API/Route Needed,Auth/Role Needed,Status,Notes
Authentication,apps/web/src/auth/useAuth.ts,Sign in,Button,Creates built-in session and now transitions into workspace,POST /v1/auth/builtin/session,Built-in administrator,Done,Production sign-in no longer stalls
Dashboard,apps/web/src/api/useDashboardData.ts,Dashboard load,Automatic,Production previously fell back to demo metrics,Load only persisted API metrics,GET /v1/dashboard/overview and GET /v1/employees,Authenticated user,Done,Demo fallback restricted to dev mode
Leads,apps/web/src/features/leads/useLeadData.ts,Pipeline load,Automatic,Production previously fell back to demo leads,Load only persisted leads and metadata,GET /v1/session /v1/lead-statuses /v1/lead-owners /v1/leads,leads.read,Done,Demo fallback restricted to dev mode
Reports,apps/web/src/features/reports/ReportsWorkspace.tsx,Performance report,Automatic,Production previously fell back to demo report,Load only live report and employees,GET /v1/reports/leads and GET /v1/employees,reports.read,Done,Demo fallback restricted to dev mode
Report automation,apps/web/src/features/reports/ReportAutomationPage.tsx,Saved views and schedules,Automatic,Hardcoded demo schedules views and export job appeared before API response,Render persisted API snapshot or honest empty state,GET /v1/report-automation,reports.read,Done,No production demo records
Report automation,apps/web/src/features/reports/ReportAutomationPage.tsx,Save current view,Button,Could report success without an authenticated API client,Create persisted saved view,POST /v1/saved-report-views,reports.read,Done,Missing auth now fails visibly
Report automation,apps/web/src/features/reports/ReportAutomationPage.tsx,Create schedule,Form submit,Could report local-only success,Create persisted schedule,POST /v1/report-schedules,reports.read,Done,Requires a real saved view and recipient
Report automation,apps/web/src/features/reports/ReportAutomationPage.tsx,Pause or resume schedule,Icon button,Calls live API when available,Persist status change,PATCH /v1/report-schedules/:id,reports.read,Done,
Report automation,apps/web/src/features/reports/ReportAutomationPage.tsx,Queue export,Button,Could report success without queueing,Create persisted export job,POST /v1/report-exports,reports.export,Done,Missing auth now fails visibly
Report automation,apps/web/src/features/reports/ReportAutomationPage.tsx,Notification toggles,Toggle,Optimistic update backed by API,Persist user preferences,PUT /v1/notification-preferences,reports.read,Done,Rolls back failed request
Dashboard,apps/web/src/components/OutcomeChart.tsx,View full report,Button,No handler,Navigate to Reports with outcome context,Frontend module navigation,Authenticated user,Pending,Next wiring batch
Dashboard,apps/web/src/components/RecentActivity.tsx,View all,Button,No handler,Open full call activity or logs view,Frontend module navigation,Authenticated user,Pending,Next wiring batch
Dashboard,apps/web/src/components/ActivityChart.tsx,By hour,Button,No handler,Select supported chart aggregation,Dashboard API aggregation parameter,Authenticated user,Pending,Needs API contract decision
Navigation,apps/web/src/components/Sidebar.tsx,Manage plan,Button,No handler,Open billing and plan management,Billing route/provider,billing.read or billing.manage,Blocked,Payment provider and product setup required
Top bar,apps/web/src/components/TopBar.tsx,Date,Button,Static date and no handler,Open date range control and show current selection,Shared dashboard date state,Authenticated user,Pending,Replace hardcoded date
Top bar,apps/web/src/components/TopBar.tsx,Profile menu,Button,Built-in mode has no handler,Open profile/security menu,Profile/settings route,Authenticated user,Pending,OIDC mode currently signs out directly
